day,time,hour,weather,fixed_queue,fixed_thr,actuated_queue,actuated_thr,ai_queue,ai_thr,ai_avgWait,fidelity
1,07:30:10,7,clear,1.2,0.0,2.5,0.0,2.0,0.0,41.2,97.7
1,07:32:10,7,clear,3.1,0.0,4.8,3.0,3.7,3.0,45.3,97.7
1,07:37:10,7,clear,5.0,2.0,6.6,2.0,5.2,2.0,52.1,97.1
1,07:42:10,7,clear,6.5,6.0,8.2,1.5,6.7,1.5,47.5,96.7
1,17:05:00,17,clear,7.8,8.4,9.4,2.4,8.8,1.2,57.4,96.7
1,17:10:00,17,clear,9.0,9.0,10.9,4.0,11.1,4.0,54.6,97.4
1,17:15:00,17,clear,10.6,9.4,12.7,3.4,13.5,5.1,54.6,97.7
1,17:20:00,17,clear,12.4,9.0,14.3,4.5,16.1,5.2,54.6,97.1
1,17:25:00,17,clear,14.0,11.3,15.8,4.7,18.9,8.7,54.6,98.2
2,07:05:00,7,clear,15.2,11.4,17.3,4.8,21.0,11.4,51.5,98.1
2,07:07:05,7,clear,16.2,11.5,19.0,4.9,22.6,13.1,45.5,96.5
2,17:02:30,17,clear,17.4,10.5,20.9,4.5,24.1,13.5,48.4,97.2
2,17:10:30,17,clear,19.0,9.7,22.7,6.9,25.7,12.5,48.4,98.0
2,17:20:30,17,clear,20.6,9.9,24.4,6.9,27.4,12.9,48.4,97.4
2,17:30:30,17,clear,22.4,13.2,26.0,6.4,28.9,14.0,48.4,97.8
2,17:40:30,17,clear,23.7,15.8,27.6,7.9,30.5,14.2,48.4,97.4
2,17:50:30,17,clear,25.0,15.2,29.0,9.9,32.2,14.1,57.8,97.1
2,18:00:30,18,clear,26.3,15.3,30.0,11.7,33.8,16.3,46.7,97.5
2,18:10:30,18,clear,29.1,16.0,32.2,13.3,37.1,17.3,44.8,98.3
2,18:20:30,18,clear,31.7,19.3,34.3,13.7,40.3,18.7,44.9,96.8
2,18:30:30,18,clear,34.0,21.0,36.3,14.0,43.2,19.3,44.9,96.8
2,18:40:30,18,clear,36.1,21.0,38.5,15.7,46.1,20.7,44.7,97.4
2,18:50:30,18,clear,38.3,20.3,40.6,17.3,48.8,20.7,55.1,95.7
2,19:00:30,19,clear,40.4,20.0,42.3,18.7,51.4,20.0,37.6,97.6
2,19:10:30,19,clear,42.3,21.0,43.6,19.3,53.7,22.3,37.0,97.8
2,19:20:30,19,clear,43.6,24.3,44.8,19.0,55.4,24.0,36.4,96.7
2,19:30:30,19,clear,44.6,25.7,46.0,19.3,56.9,22.3,37.0,98.0
2,19:40:30,19,clear,45.6,26.3,47.2,20.7,58.6,20.7,36.1,97.8
2,19:42:45,19,clear,46.7,25.7,48.2,22.0,60.3,21.0,36.4,97.9
3,12:00:50,12,clear,47.7,25.7,48.7,23.7,62.0,21.7,39.5,97.6
3,12:02:30,12,clear,48.3,28.3,49.4,22.0,63.5,22.3,40.6,96.6
3,12:04:10,12,clear,48.4,30.0,50.2,22.0,65.0,21.7,40.9,96.4
3,12:05:50,12,clear,48.3,27.3,51.0,23.0,66.6,20.3,40.9,97.0
3,12:07:30,12,clear,48.4,24.7,51.4,23.7,67.8,23.7,41.0,97.5
3,12:12:30,12,clear,48.5,24.7,51.8,22.3,68.5,23.7,40.6,98.3
3,12:16:32,12,clear,48.6,24.3,52.4,20.3,69.2,22.0,40.1,97.6
3,12:16:42,12,clear,48.4,26.3,53.2,20.3,69.8,22.7,40.3,95.3
